Name of Building,Address,Year of Completion,Property_Type,Location
"Bhotai Industrial Building
      ??????","13 San On St.,
Tuen Mun",1976,,New Territories
"Biarritz
      ??","16 Tsing Tai Rd.,
Tuen Mun",2014,,New Territories
"Big Orange - Tai Wai
      ???? - ??","2/8 Shing Wan Rd.,
Sha Tin",1981,,New Territories
"Bik Lai Yuen
      ???","41A Cheung Chau Peak Rd.,
Cheung Chau",1976,,New Territories
"Billows Villa
      ????","DD 238 Lot 542,
Off Hang Hau
Wing Lung Rd., Sai Kung",1985,,New Territories
"Bitt Hing Building
      ???","Ground Floor:
4 Ming Ngai St.,
107/111 Tuen Mun Heung
Sze Wui Rd., Tuen Mun
Upper Floors:
2 Ming Ngai St.",1974,,New Territories
"Black Point Power Station
      ??????","26 Yung Long Rd.,
Tuen Mun",-,,New Territories
"Blossom Garden
      ????","11 Leung Tak St.,
Tuen Mun",1993,,New Territories
Blue Eaves,"DD 229 Lot 201,
Clear Water Bay Rd.
Sai Kung",1960,,New Territories
"Bluet Garden
      ????","DD 229 Lot 128,
Clear Water Bay Rd.
Tai Po Tsai, Sai Kung",1965,,New Territories
"Bo Shek Mansion
      *????","328 Sha Tsui Rd.,
Tsuen Wan
(See Appendix II)",,,New Territories
"      Block 1-3
      ?1?3?",(See Appendix II),,,New Territories
"Bo Yuen
      ??","DD 124 Lot 1096
(Middle Portion)
(3 Shek Po Rd.)
Hung Shui Kiu, Yuen Long",-,,New Territories
"Boarding Section of
      Caritas Lok Jun School
      ?????????","30 Man Lai Rd.,
Sha Tin",-,,New Territories
"BOC Luen Wo Market Building
      ???????","17/19 Wo Fung St.,
Fanling",1982,,New Territories
"BOC Sheung Shui Commercial Centre
      ????????","61 San Fung Avenue,
Sheung Shui",1972,,New Territories
"BOC Yuen Long Commercial Centre
      ????????","102/108 Castle Peak Rd.
Yuen Long, Yuen Long",1984,,New Territories
"Bold Win Industrial Building
      *??????","16/18 Wah Sing St.,
Kwai Chung",1977,,New Territories
"Bonanza Villa
      ???","DD 115 Lot 1501,
Off Yau Shin St.,
Yuen Long",1982,,New Territories
"Bong Hing Building
      *????","6/20 Sui On St.,
Tai Po",1980,,New Territories
"Bonjour Tower
      ??????","36/42 Wang Wo Tsai St.,
Tsuen Wan",1975,,New Territories
"Bonjour Tower
      ??????","44/50 Wang Wo Tsai St.,
Tsuen Wan",1971,,New Territories
"Bonsun Industrial Building
      *??????","364/366 Sha Tsui Rd.,
Tsuen Wan",1973,,New Territories
"Bor Yeh Lam
      ???","24 Ngong Ping Tsuen,
Lantau Island",-,,New Territories
"Bor Yek Yuen
      ???","17 Ngong Ping Tsuen,
Lantau Island",-,,New Territories
"Bossini Logistics Centre
      ???????","4 Yip Wo St.,
Fanling",1989,,New Territories
"Botania Villa
      *???","138 Fuk Hang Tsuen Rd.,
Tuen Mun",1998,,New Territories
Bougainvillea Gardens,"12 Silver Crest Rd.,
Silverstrand, Sai Kung",1977,,New Territories
Boulder Lodge,"3 Tsing Bik St.,
Tuen Mun",Pre 1945?,,New Territories
Bowring Height,"7 Hing Ping Rd.,
Tuen Mun",1974,,New Territories
"Boys' & Girls' Clubs Association of
      Hong Kong, Bradbury Camp
      ???????????","DD 257 Lot 642,
Off Tai Mong Tsai Rd.,
Wong Yi Chau, Sai Kung",1985,,New Territories
"Bradbury Hospice
      ???????","17 A Kung Kok Shan Rd.,
Sha Tin",1992,,New Territories
"Bradbury Jockey Club Youth Hostel
      ??????????","66 Tai Mei Tuk Rd.,
Tai Po",1993,,New Territories
Branksome Villa,"DD CC 1155
Off Cheung Chau Peak Rd.,
Cheung Chau",1980,,New Territories
"Breakthrough Community
      Youth Campus
      ?????","33 A Kung Kok Shan Rd.,
Sha Tin",1996,,New Territories
Brighthelmstone,"154 Tai Hang Hau,
Clear Water Bay",1976,,New Territories
"Brighton Place
      *???","23 Shiu Wo St.,
Tsuen Wan",1999,,New Territories
"Brighton Villa
      ????","DD 217 Lot 1103,
Off Hiram's Highway,
Hebe Haven, Sai Kung",1966,,New Territories
"Brilliant Garden
      *????","250 Castle Peak Rd. San Hui,
Tuen Mun",1989,,New Territories
Brixham,"72 Che Keng Tuk Rd.,
Sai Kung",1975,,New Territories
"Broadview Garden
      ????","1 Tsing Luk St.,
Tsing Yi
(See Appendix II)",,,New Territories
