Name of Building,Address,Year of Completion,Property_Type,Location
"Austin Plaza
      ?????",83 Austin Rd.,1995,,
Austin Road 5,5/7 Austin Rd.,1976,,
"Austin Tower
      *????",22/26 Austin Avenue,1982,,
"Austin Tower (Phase II)
      *???? (??)",152 Austin Rd.,1983,,
"Australia House
      ????","7/9 Luard Rd. &
31 Thomson Rd.",1970,,
"Australian International School
      Hong Kong
      ????????",3A Norfolk Rd.,2001,,
"Auto Plaza
      ????",65 Mody Rd.,1983,,
"Auxiliary Medical Service
      Headquarters
      ???????",81 Princess Margaret Rd.,1991,,
"Ava Court
      *???",44 Broadcast Drive,1973,,
"Avalon
      ???",19 Tai Hang Rd.,1994,,
"Avery House
      *???",22 Tai Yuen St.,1987,,
"Avon Court
      *???",2 Fessenden Rd.,1974,,
"Avon Court
      *??",21/23 Caine Rd.,1967,,
"AXA Southside
      ???",38 Wong Chuk Hang Rd.,2017,,
"Axeford Villa
      *???",3 Sands St.,1994,,
"Axis
      ??",200 Ma Tau Wai Rd.,2017,,
"Azura
      ??",2A Seymour Rd.,2012,,
"Backingham Building
      *????",317/321 Nathan Rd.,1959,,
"Baguio Villa
      *???",,,,
"      Blocks 16-18
      ?16-18?",550 Victoria Rd.,1979,,
"      Blocks 19-27
      ?19-27?",555 Victoria Rd.,1979,,
"      Blocks 28-44
      ?28-44?",550 Victoria Rd.,1975,,
"      Blocks 45-48
      ?45-48?",550 Victoria Rd.,1977,,
"Bailey Garden 
      *????",23 Bailey St.,1995,,
"Baily Court
      ???",33 Po Kong Village Rd.,2001,,
"Baker Residences
      *??",8 Baker Court,2011,,
"Baker View
      ????",66 Baker St.,2002,,
"Bangkok Bank Building
      *??????",490/492 Nathan Rd.,1976,,
"Bangkok Bank Building
      ??????","Ground Floor:
27 Chiu Lung St.
Upper Floor:
28 Des Voeux Rd. C.",1971,,
"Bank Building
      *????",259/269 Des Voeux Rd. W.,1965,,
"Bank of America Tower
      ??????",12 Harcourt Rd.,1975,,
"Bank of China Building
      ??????",2A Des Voeux Rd. C.,1952,,
"Bank of China Tower
      ????",1 Garden Rd.,1989,,
"Bank of Communications Building
      ??????",368 Hennessy Rd.,1985,,
"Bank of Communications Building
      ??????",563 Nathan Rd.,1977,,
"Bank of Communications Tower
      ??????",233 Gloucester Rd.,1996,,
"Bank of East Asia Harbour View
      Centre
      *????????",56 Gloucester Rd.,1990,,
"Bank of East Asia
      Mongkok Building
      ????????",638/640 Nathan Rd.,1962,,
"Bank Tower
      *????",351-353 King's Rd.,1986,,
"Banoo Villa
      ???",2 Tung Tau Wan Rd.,1989,,
"Banyan Garden
      ???",863 Lai Chi Kok Rd.,2004,,
"Banyan Mall
      ???",863 Lai Chi Kok Rd.,2003,,
"Banyan Villas
      ???",9 Stanley Village Rd.,1983,,
"Bao Hua Building
      ????","276-278 Cheung Sha
Wan Rd.",1966,,
"Baptist Primary & Secondary School
      ?????",30 San Shi St.,1962,,
"Baptist Pui Li School
      ???????",175 Sai Wan Ho St.,1965,,
"Baptist Rainbow Primary School
      ???????","15 Chuk Yuen Rd.
Chuk Yuen South Estate",-,,
"Barker Villa
      *????",41 Barker Rd.,1974,,
"Bartlock Centre
      ????",3 Yiu Wa St.,1996,,
"Baskerville House
      ???","13 Duddell St. &
22 Ice House St.",1975,,
"Bauhinia Gardens
      *???",42 Chung Hom Kok Rd.,1972,,
"Bay View Garden
      *????",2 Wing Ting Rd.,1989,,
"Bay View Mansion
      *???","Ground Floor:
24/36 Causeway Rd. &
11/33 Moreton Terrace
Upper Floors & Arcade:
21 Moreton Terrace",1966,,
"Bay Villas
      ??",57-71 Shouson Hill Rd.,2003,,
Bayanihan Kennedytown Centre,55 Victoria Rd.,1960,,
"Bayshore Apartments
      *????",244 Aberdeen Main Rd.,2000,,
"Bayside House
      ???",5B Stanley Main St.,1996,,
